COUNTYNAME,AECI,CORA,DAIN,EPFU,LABO,LANO,LASE,LASP,MYAU,MYGR,MYLU,MYSE,MYSO,MYSP,NYHU,PESU,TABR,TOTALSPECIES
Tishomingo,1,,,1,1,,,,1,1,,1,1,1,1,1,,13
Alcorn,,,,,,,,,,,,,,,,,,1
Tippah,,,,,,,,,,,,,,,,1,,2
Benton,,,,,1,1,1,1,1,,,,,,1,1,,9
Desoto,,,,,1,,,,,,,,,,,,,2
Marshall,,1,,,1,,,,,,,,,,1,1,,5
Tunica,,1,,1,1,,,,1,,,,,,1,,,5
Tate,,,,,,,,,,,,,,,,,,0
Prentiss,,1,,,,,,,,,,,,,,,,2
Union,,,,,,,,,1,,,,,,,1,,4
Lafayette,1,1,,1,1,,,,1,,,,,,1,1,,8
Panola,,1,,1,1,,,,1,,1,,,,1,1,,8
Coahoma,,,,,,,,,,,,,,,,,,0
Lee,,,,,1,,,,,,,,,,1,,,3
Quitman,,,,,1,,,,,,,,,,1,1,,4
Itawamba,,1,,1,,,,,1,,,,,,,1,,6
Pontotoc,,,,,1,,,,,,,,,,1,,,3
Yalobusha,1,,,,1,,,,1,,,,,,1,1,,6
Tallahatchie,,,,1,1,,,1,1,,,,,,1,1,,7
Calhoun,,,,,1,,,,,,,,,,1,,,2
Bolivar,,1,,1,1,,,,,,,,,,1,,,6
Monroe,,,,1,,,,,1,,,,,,1,1,,5
Chickasaw,,,,,1,,,,,,,,,,,,,2
Sunflower,,1,,,,,,,1,,,,,,,,,3
Grenada,,,,1,1,,,,1,,,,,,1,1,,7
Clay,,1,,1,,,,,1,,,,,,,,,3
Leflore,,,,,1,,,,,,,,,,1,,,2
Lowndes,,1,,1,1,,,,1,,,,,,1,1,1,8
Webster,,1,,1,,,,,1,,,,,,,1,1,6
Montgomery,,1,,1,1,,,,1,,,,,,,1,,6
Carroll,,1,,1,1,,,,1,,,,,,,1,,8
Oktibbeha,,1,,1,1,,1,,1,,,,,,1,1,1,10
Washington,,,,,1,,1,,1,,,,,,1,1,,6
Choctaw,,,,1,1,,1,,,,,,,,1,1,1,7
Holmes,,,,1,1,,,,1,,,,,,1,1,,7
Humphreys,,,,,,,,,,,,,,,,,,0
Noxubee,1,1,,1,1,,1,1,1,,,,,,1,1,1,12
Winston,,1,,1,1,1,,,1,,,,,,1,1,,10
Attala,,1,,1,1,,,,1,,,,,,1,1,,7
Sharkey,,1,,1,1,,1,,1,,1,1,,,1,1,,11
Yazoo,,1,,1,1,,1,,1,,,,,,1,1,,10
Issaquena,,,,,,,,,,,,,,,,,,1
Kemper,1,,,,1,,1,,,,,,,,1,1,,5
Neshoba,,,,,1,,1,,1,,,,,,1,1,,6
Leake,,1,,1,1,,,,1,,,,,,1,1,,8
Madison,1,1,,1,1,,,,1,,,,,,,1,1,9
Scott,,1,,1,1,,1,,1,,,,,,1,1,,9
Warren,1,1,1,1,1,,1,1,1,,,1,,,1,1,1,13
Rankin,1,1,,1,1,,,,1,,,,,,,1,1,8
Lauderdale,1,1,,1,1,,1,1,1,,,,,,1,1,1,12
Newton,,,,1,,,1,,,,,,,,,1,1,4
Hinds,1,,,1,1,1,1,,1,,,,,,1,1,1,11
Clarke,,,,1,1,,,,1,,,,,,,1,,6
Claiborne,,1,,1,1,,1,,1,,,1,,,1,1,1,11
Jasper,,,,,1,,,,1,,,,,,1,1,,5
Smith,,,,1,1,,1,,1,,,,,,1,1,,8
Copiah,,,,,,,1,1,1,,,,,,1,,1,6
Simpson,,1,,1,1,,,,1,,,,,,,1,,6
Wayne,,1,,1,1,,1,1,1,,1,1,,,1,1,,12
Jefferson,,1,,1,1,,,,1,,,1,,,,1,1,9
Jones,,1,,1,1,,1,,1,,,,,,1,1,1,9
Covington,,1,,1,,,,,1,,,,,,,,1,5
Jefferson Davis,,,,1,,,,,1,,,,,,,1,,4
Lawrence,,,,1,,,,,1,,,,,,,1,,4
Adams,,1,,1,1,,1,,1,,,1,,,1,1,1,11
Lincoln,,,,1,1,,,,1,,,,,,1,1,1,7
Franklin,,,,1,1,,1,,1,,,,,,1,1,1,8
Greene,,1,,1,1,,,,1,,,,,,,1,1,9
Perry,1,1,,1,1,,1,1,1,,,,,,1,1,1,12
Forrest,,1,,,1,,1,1,1,,,,,,1,1,1,9
Lamar,1,1,,1,,,1,,1,,,,,,1,1,,8
Marion,,,,1,,,1,,1,,,,,,,,1,5
Wilkinson,,1,,1,1,,1,,1,,,1,,,1,1,1,12
Amite,,1,,1,1,,1,1,1,,,,,,1,1,,9
Pike,,,,1,,,,,,,,,,,1,1,1,5
Walthall,,,,1,,,,,1,,,,,,,,,3
Pearl River,,1,,1,1,,,,,,,,,,1,,1,6
George,,1,,1,,,,,1,,,,,,,1,,6
Stone,,1,,1,1,,1,,1,,,,,,1,1,1,10
Jackson,,1,1,,1,,1,1,,,,,,,1,,1,8
Harrison,1,1,,1,1,1,1,1,,,,,,,1,,1,11
Hancock,,1,1,1,,,1,,,,,,,,1,1,,6
